mean,std,max,min,range,skewness,kurtosis,rms,crest_factor,variance,zero_crossings,dominant_freq,spectral_energy,spectral_centroid,spectral_bandwidth,spectral_flatness,event,event_str,label
-0.05996671858793445,-1.019227979963866,-0.7334438097843069,0.7926034347653533,-0.7705790485579045,-0.128277395971698,-0.7893808010773474,-1.019258072538299,-0.4990594114107779,-0.5975952934950504,2.3563542194034413,1.3644564521916984,-0.5936234798910656,2.0942333187199864,2.3105112127412575,2.2691015004796253,normal,normal,0
-0.07132357064884283,0.12030439148132435,-0.00684908592663584,-0.1534090744161978,0.06983037015284166,-0.19031366009403575,0.5239374639204698,0.12028887363014962,0.34190809431806934,-0.19897299175135857,0.6488456424042237,0.7273561632305942,-0.17910805601854463,-0.3633582911327313,-0.6454535266368968,-0.4163897931289107,joint X,joint X,1
0.24975802666961022,-0.9357103863963891,-0.7129777299183289,0.7594044779167929,-0.7437685676975611,-0.23259473689533586,-0.8026111071324789,-0.9357377302490266,-0.8042603617859317,-0.5926112316376265,0.5283089044494446,1.3644564521916984,-0.588806867424701,0.13812334284528777,0.7497244515687161,0.2243592479983383,normal,normal,0
1.014426929145944,0.10257478984431215,0.28536856835727875,-0.31520972397225894,0.3030854376806575,1.806070939655411,1.1869571368371328,0.10256364139857348,1.277650557273888,-0.21063946903995123,-0.2634632225900054,-1.1839447036527186,-0.1993233137040312,-0.49945793842556613,-0.5557599155985747,-0.41010885601413033,squat A,squat A,1
-2.201092803217753,-0.6868782249912311,-0.6735438497061113,0.6516097014141535,-0.6711176319440256,-0.7634092966346022,-0.7520197245670693,-0.686837258572501,-1.154555175588617,-0.555040458056384,-0.7124768530755808,-1.1839447036527186,-0.5570765375527762,-0.5293687830745175,-0.22099565008712263,-0.317040321348313,normal,normal,0
0.669883977805271,1.2838725749726663,1.2010785117600584,-0.6967059975062138,0.9738988633550356,1.5322496860854826,0.5653049281559016,1.283873303526693,1.0872671329818309,0.9443245183683044,-0.38000111141832266,-0.8653945591721665,0.980505668154631,-0.4857595107143591,-0.6760189865130277,-0.42799936783955805,joint X,joint X,1
-0.3538228397670824,1.2845955405441662,1.2010785117600584,-0.6967059975062138,0.9738988633550356,1.5391764795588827,0.5636879180822694,1.2845955849397492,1.0863426127526388,0.9452661540677061,-0.36114939410785957,-0.8653945591721665,0.8939982109136934,-0.4824472919582008,-0.6632100731236359,-0.42742299715404336,squat B,squat B,1
-0.5633696391606331,1.191709909996309,1.5631825684396479,-1.8334901827702899,1.7114087105070026,0.08776420421710551,2.8144227030423234,1.1917092207982285,1.793072187772036,0.8266380672178448,-0.23889886367031102,1.0459063077111461,0.6831736457004488,-0.3669780966452264,-0.7619549593493978,-0.42849686086918826,squat C,squat C,1
1.518638351367172,-0.617060262461518,-0.6374702911193728,0.7006196644231248,-0.675365251979144,0.15299308777421874,-0.8077508958500571,-0.6170589784501201,-0.9904158417519553,-0.5383863516917796,-0.6770584750983472,-0.7061194869318904,-0.5323093322982679,-0.41630375714885365,-0.3651015152293842,-0.3522535496116557,normal,normal,0
-0.030201651802101877,0.9997882607785562,1.1502996644561252,-1.4757851299386981,1.3200022730921699,0.356713436635021,2.0158944911953203,0.9997842627122515,1.4112705552173124,0.5965447588856595,-0.3714321490044758,-0.8653945591721665,0.546397923068007,-0.49026546399245896,-0.2903460560963365,-0.4102957922957965,squat A,squat A,1
